atco_area_code,atco_area_id,atco_outarea,stop_no,naptan_stop_no,maximo_stop_no,sms_stop_no,rt_stop_no,cluster_no,road_name,street_name,stop_name,stop_identifier,jp_stop_name,rt_stop_name,start_date,end_date,stop_aka,mode,stop_type,naptan_stop_type,naptan_stop_sub_type,both_dir,schools_only,alighting_only,status,naptan_record_status,landmark,side_road,suburb,town,county,ward,district,northing,easting,latitude,longitude,local_area,direction,national_gazetteer_id,national_gazetteer_locality,locality_centre_indicator,naptan_bus_registration_status,seating_type,site_illuminated,shelter_type,Shelter,shelt_end_date,additional_flag_text,tt_boards_req,no_panels_total,no_panels_tt,service_plate,service_plate_text,platform,stand,flag_mount,tt_board_type,created_on,parliamentary_constituency,Boardings Per Month,Boardings Per Hour,Stop Calls Per Month,Stop Calls Per Hour,Board Type,Interchange,Boarding Band,Stop Calls Per Month Band,Stop Calls Per Hour Band,Damaged,Views,Users,Views per User,Realtime_Helper,Realtime?,Shelter?,Virtual?,Poster?
370,99 ,0,0050486 ,370050486,50486,,37050486,08578,Worsbrough Road,Worsbrough Road,Worsbrough Road/Coronation Drive,opp,Coronation Drive,Coronation Drive,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Worsbrough Road/Coronation Drive,B,P,BCT,MKD,N,N,N,L,ACT,O/S Cemetery,Coronation Drive,Birdwell,Barnsley,South Yorkshire,Rockingham Ward,Barnsley District,402272,434822,53.515979301,-1.476324263,Birdwell,NE,E0030009,Birdwell,N,   ,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,NULL,NULL,STSB,TF2R,1993-06-07 00:00:00.000,Barnsley East,0,0,944.6666667,2.595238095,Trueform 2 Panel Rotating,No,0,900-999,0.1-3,0,27,9,3,No,0,1,0,None
370,99 ,0,0055144 ,370055144,55144,,37055144,09450,Wood Walk,Wood Walk,Wood Walk/Wombwell Station,adj,Wombwell Station,Wombwell Station,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Wood Walk/Wombwell Station,B,P,BCT,MKD,N,N,N,L,ACT,Wombwell Station,Dovecliffe Road,Wombwell,Barnsley,South Yorkshire,Wombwell Ward,Barnsley District,402415,438821,53.516985358,-1.416001539,Wombwell,NE,E0030701,Wombwell,N,NULL,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,NULL,NULL,NONE,TF2R,1993-06-07 00:00:00.000,Barnsley East,0,0,476.6666667,1.30952381,Trueform 2 Panel Rotating,No,0,400-499,0.1-3,0,9,3,3,No,0,1,0,None
370,99 ,0,0051172 ,370051172,51172,,37051172,09114,Wombwell Lane,Wombwell Lane,Wombwell Lane/Caulk Lane,opp,Caulk Lane,Caulk Lane,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Wombwell Lane/Caulk Lane,B,P,BCT,MKD,N,N,N,L,ACT,Opp Jewson/Greggs,Caulk Lane,Stairfoot,Barnsley,South Yorkshire,Stairfoot Ward,Barnsley District,404941,437839,53.539760224,-1.430506144,Stairfoot,SE,E0030559,Stairfoot,N,   ,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,2 ,N,,,  ,NONE,HOR2,1993-06-07 00:00:00.000,Barnsley East,0,0,2422.333333,6.654761905,Horizon 2 Panel Carousel,No,0,2000-2999,3-10,0,0,0,No Data,370051172,1,1,0,None
370,99 ,0,0050022 ,370050022,50022,,37050022,09105,Wombwell Lane,Wombwell Lane,Wombwell Lane/Bleachcroft Way,opp,Bleachcroft Way,Opp The Keel Inn,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Wombwell Lane/Bleachcroft Way,B,P,BCT,MKD,N,N,N,L,ACT,Outside Mcdonalds,Bleachcroft Way,Stairfoot,Barnsley,South Yorkshire,Stairfoot Ward,Barnsley District,405455,437394,53.544411779,-1.437159281,Stairfoot,SE,E0030559,Stairfoot,Y,NULL,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,2 ,N,,NULL,NULL,NONE,HOR2,1993-06-07 00:00:00.000,Barnsley East,0,0,2422.333333,6.654761905,Horizon 2 Panel Carousel,No,0,2000-2999,3-10,0,0,0,No Data,No,0,1,0,None
370,99 ,0,0050064 ,370050064,50064,,37050064,08344,Wilthorpe Road,Wilthorpe Road,Wilthorpe Road/Wilbrook Rise,adj,Wilbrook Rise,Wilbrook Rise,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Wilthorpe Road/Wilbrook Rise,B,P,BCT,MKD,N,N,N,L,ACT,Outside 32,Wilbrook Rise,Wilthorpe,Barnsley,South Yorkshire,Darton West Ward,Barnsley District,407751,432361,53.565381367,-1.512872016,Wilthorpe,W ,E0030692,Wilthorpe,N,   ,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,  ,  ,NONE,HOR2,1993-06-07 00:00:00.000,Barnsley Central,0,0,1330.333333,3.654761905,Horizon 2 Panel Carousel,No,0,1000-1999,3-10,1,0,0,No Data,No,0,1,0,None
370,99 ,0,0055350 ,370055350,55350,,37055350,01397,Westwood New Road,Westwood New Road,Westwood New Road/Wentworth Way,adj,Wentworth Way,Wentworth Ind Est,1993-06-06 00:00:00.000,2099-01-01 00:00:00.000,Westwood New Road/Wentworth Way,B,P,BCT,MKD,N,N,N,L,ACT,Industrial Estate,Wentworth Way,Tankersley,Barnsley,South Yorkshire,Penistone East Ward,Barnsley District,399523,434148,53.491315247,-1.486786665,Tankersley,NE,E0052715,Tankersley,N,   ,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,,  ,STSB,INF2,1993-06-06 00:00:00.000,Penistone and Stocksbridge,0,0,732.3333333,2.011904762,Manplas standard 2 panel caro,No,0,700-799,0.1-3,0,3,3,1,No,0,1,0,None
370,99 ,0,0055005 ,370055005,55005,,37055005,09615,West Street,West Street,West Street/Sports Centre,at,Sports Centre,Sports Centre,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,West Street/Sports Centre,B,P,BCT,MKD,N,N,N,L,ACT,Sports Centre,Vernon Street,Hoyland,Barnsley,South Yorkshire,Rockingham Ward,Barnsley District,400526,436544,53.500169786,-1.450559215,Hoyland,E,N0060526,Hoyland,N,   ,BSL,Y,BSL2,y,2012-09-04 23:00:00.000,,R,2,1 ,N,,,  ,NONE,HOR2,1993-06-07 00:00:00.000,Barnsley East,0,0,2387.666667,6.55952381,Horizon 2 Panel Carousel,No,0,2000-2999,3-10,1,6,3,2,No,0,1,0,Products
370,99 ,0,0051108 ,370051108,51108,,37051108,01396,Wentworth Way,Wentworth Way,Wentworth Way/Maple Road,adj,Maple Road,Maple Road,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Wentworth Way/Maple Road,B,P,BCT,MKD,N,N,N,L,ACT,Industrial Park,Maple Road,Tankersley,Barnsley,South Yorkshire,Penistone East Ward,Barnsley District,399553,433938,53.491598429,-1.489948434,Tankersley,NW,E0052715,Tankersley,N,   ,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,,  ,NONE,TF2R,1993-06-07 00:00:00.000,Penistone and Stocksbridge,0,0,1924,5.285714286,Trueform 2 Panel Rotating,No,0,1000-1999,3-10,0,27,10,2.7,No,0,1,0,None
370,99 ,0,0050289 ,370050289,50289,,37050289,09533,Wentworth Road,Wentworth Road,Wentworth Road/Wath Road,opp,Wath Road,The Market,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Wentworth Road/Wath Road,B,P,BCT,MKD,N,N,N,L,ACT,Opp The Market,Wath Road,Elsecar,Barnsley,South Yorkshire,Hoyland Milton Ward,Barnsley District,399874,438456,53.494173753,-1.421816608,Elsecar,NE,E0030155,Elsecar,Y,   ,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,C,2,1 ,N,,,  ,STSB,HOR2,1993-06-07 00:00:00.000,Barnsley East,0,0,459.3333333,1.261904762,Horizon 2 Panel Carousel,No,0,400-499,0.1-3,0,3,2,1.5,No,0,1,0,None
370,99 ,0,0055381 ,370055381,55381,,37055381,09482,Wentworth Road,Wentworth Road,Wentworth Road/Turners Close,opp,Turners Close,Turners Close,1993-06-07 00:00:00.000,2099-01-01 00:00:00.000,Wentworth Road/Turners Close,B,P,BCT,MKD,N,N,N,L,ACT,Opp Turners Close,Turners Close,Jump,Barnsley,South Yorkshire,Hoyland Milton Ward,Barnsley District,401048,438114,53.504750425,-1.426829100,Jump,SE,E0030302,Jump,N,   ,BSL,Y,BSL2,y,2099-01-01 00:00:00.000,,R,2,1 ,N,,NULL,NULL,STSB,HOR2,1993-06-07 00:00:00.000,Barnsley East,0,0,1503.666667,4.130952381,Horizon 2 Panel Carousel,No,0,1000-1999,3-10,1,7,3,2.333333333,No,0,1,0,None
